Tool,Category,Patch,GitHubLink,ChangeType,CodeLine,RequireType
sguardplus,reentrancy,reentrancy_cross_function,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_cross_function/reentrancy_cross_function.diff,modified,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_cross_function,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_cross_function/reentrancy_cross_function.diff,added,require(success);,runtime check
sguardplus,reentrancy,0x93c32845fae42c83a70e5f06214c8433665c2ab5,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5/0x93c32845fae42c83a70e5f06214c8433665c2ab5.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrance,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrance/reentrance.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_bonus,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_bonus/reentrancy_bonus.diff,modified,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_bonus,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_bonus/reentrancy_bonus.diff,modified,require(success);,runtime check
sguardplus,reentrancy,reentrancy_bonus,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_bonus/reentrancy_bonus.diff,added,require( ! claimedBonus[recipient]);,invariant
sguardplus,reentrancy,reentrancy_dao,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_dao/reentrancy_dao.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_dao,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_dao/reentrancy_dao.diff,added,require(callResult);,invariant
sguardplus,reentrancy,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.diff,added,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_insecure,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_insecure/reentrancy_insecure.diff,modified,require(!__lock_modifier0_lock);,modifier
sguardplus,reentrancy,reentrancy_insecure,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/sGuardPlus/reentrancy/reentrancy_insecure/reentrancy_insecure.diff,added,require(success);,runtime check
